,,
Nhà tù Shawshank,(1994),9.2
Bố Già,(1972),9.1
Bố Già Phần II,(1974),9.0
Kỵ Sĩ Bóng Đêm,(2008),9.0
12 Angry Men,(1957),8.9
Bản Danh Sách Của Schindler,(1993),8.9
The Lord of the Rings: The Return of the King,(2003),8.9
Pulp Fiction,(1994),8.8
"Thiện, Ác, Tà",(1966),8.8
The Lord of the Rings: The Fellowship of the Ring,(2001),8.8
Fight Club,(1999),8.8
Forrest Gump,(1994),8.7
Kẻ Đánh Cắp Giấc Mơ,(2010),8.7
Chúa Tể Những Chiếc Nhẫn: Hai Tòa Tháp,(2002),8.7
Star Wars: Episode V - The Empire Strikes Back,(1980),8.7
Ma Trận,(1999),8.6
Goodfellas,(1990),8.6
Bay Trên Tổ Chim Cúc Cu,(1975),8.6
Shichinin no samurai,(1954),8.6
Se7en,(1995),8.6
Sự Im Lặng Của Bầy Cừu,(1991),8.6
Cidade de Deus,(2002),8.6
La vita è bella,(1997),8.6
It's a Wonderful Life,(1946),8.6
Star Wars: Niềm Hi Vọng Mới,(1977),8.6
Giải Cứu Binh Nhì Ryan,(1998),8.5
Vùng Đất Linh Hồn,(2001),8.5
Hố Đen Tử Thần,(2014),8.5
Dặm Xanh,(1999),8.5
Ký Sinh Trùng,(2019),8.5
Léon,(1994),8.5
Seppuku,(1962),8.5
Nghệ Sĩ Dương Cầm,(2002),8.5
Kẻ Chủ Mưu,(1995),8.5
Trở Lại Tương Lai,(1985),8.5
Kẻ Hủy Diệt 2: Ngày Phán Xét,(1991),8.5
Psycho,(1960),8.5
Modern Times,(1936),8.5
Vua Sư Tử,(1994),8.5
American History X,(1998),8.5
Ánh Sáng Đô Thị,(1931),8.5
Mộ Đom Đóm,(1988),8.5
Võ Sĩ Giác Đấu,(2000),8.5
Whiplash,(2014),8.5
Điệp Vụ Boston,(2006),8.5
The Intouchables,(2011),8.5
Ảo Thuật Gia Đấu Trí,(2006),8.5
Casablanca,(1942),8.4
Once Upon a Time in the West,(1968),8.4
Rear Window,(1954),8.4
Nuovo Cinema Paradiso,(1988),8.4
Alien,(1979),8.4
Apocalypse Now,(1979),8.4
Memento,(2000),8.4
Indiana Jones Và Chiếc Rương Thánh Tích,(1981),8.4
The Great Dictator,(1940),8.4
The Lives of Others,(2006),8.4
Hành Trình Django,(2012),8.4
Paths of Glory,(1957),8.4
Sunset Blvd.,(1950),8.4
Rô-bốt Biết Yêu,(2008),8.4
The Shining,(1980),8.4
Avengers: Cuộc Chiến Vô Cực,(2018),8.4
Witness for the Prosecution,(1957),8.4
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,(1964),8.4
Joker,(2019),8.4
Người Nhện: Vũ Trụ Mới,(2018),8.4
Công Chúa Mononoke,(1997),8.3
Oldeuboi,(2003),8.3
Tên Cậu Là Gì?,(2016),8.3
Nước Mỹ Một Thời,(1984),8.3
Kỵ Sĩ Bóng Đêm Trỗi Dậy,(2012),8.3
Nhung Nguoi Ngoai Hanh Tinh,(1986),8.3
Coco,(2017),8.3
Hamilton,(2020),8.3
Das Boot,(1981),8.3
Capharnaüm,(2018),8.3
Avengers: Hồi Kết,(2019),8.3
Tengoku to jigoku,(1963),8.3
Vẻ Đẹp Mỹ,(1999),8.3
Câu Chuyện Đồ Chơi,(1995),8.3
3 Idiots,(2009),8.3
Amadeus,(1984),8.3
Trái Tim Dũng Cảm,(1995),8.3
Định Mệnh,(2009),8.3
Good Will Hunting,(1997),8.3
Star Wars: Episode VI - Return of the Jedi,(1983),8.3
Pather Panchali,(1955),8.3
2001: A Space Odyssey,(1968),8.3
Reservoir Dogs,(1992),8.3
M - Eine Stadt sucht einen Mörder,(1931),8.3
Cậu Bé Đặc Biệt,(2007),8.3
Vertigo,(1958),8.3
Citizen Kane,(1941),8.3
Idi i smotri,(1985),8.3
Cuộc Săn Lùng,(2012),8.3
Nguyen Cau Cho Mot Giac Mo,(2000),8.3
Singin' in the Rain,(1952),8.3
North by Northwest,(1959),8.3
Tia Nắng Vĩnh Cửu Của Tâm Hồn Tinh Khiết,(2004),8.3
Ladri di biciclette,(1948),8.3
Ikiru,(1952),8.3
Lawrence of Arabia,(1962),8.2
The Kid,(1921),8.2
Full Metal Jacket,(1987),8.2
Dangal,(2016),8.2
The Father,(2020),8.2
A Clockwork Orange,(1971),8.2
Metropolis,(1927),8.2
Taxi Driver,(1976),8.2
The Apartment,(1960),8.2
Double Indemnity,(1944),8.2
Incendies,(2010),8.2
The Sting,(1973),8.2
Thế Chiến 1917,(2019),8.2
Jodaeiye Nader az Simin,(2011),8.2
Le fabuleux destin d'Amélie Poulain,(2001),8.2
Scarface,(1983),8.2
Snatch,(2000),8.2
Câu Chuyện Đồ Chơi 3,(2010),8.2
Giết Con Chim Nhại,(1962),8.2
Per qualche dollaro in più,(1965),8.2
Vút Bay,(2009),8.2
Indiana Jones Và Cuộc Thập Tự Chinh Cuối Cùng,(1989),8.2
L.A. Confidential,(1997),8.2
Heat,(1995),8.2
Lã Sinh Môn,(1950),8.2
Yôjinbô,(1961),8.2
Ran,(1985),8.2
Die Hard,(1988),8.2
Green Book,(2018),8.2
Monty Python and the Holy Grail,(1975),8.2
Der Untergang,(2004),8.2
All About Eve,(1950),8.2
Some Like It Hot,(1959),8.2
Người Dơi Xuất Hiện,(2005),8.2
Unforgiven,(1992),8.2
Bacheha-Ye aseman,(1997),8.2
Hauru no ugoku shiro,(2004),8.2
Sói Già Phố Wall,(2013),8.2
The Great Escape,(1963),8.2
Judgment at Nuremberg,(1961),8.2
Casino,(1995),8.2
